date,country_name,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,mobility_transit_stations,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_residential,mobility_workplaces,latitude,longitude,location_geometry,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,school_closing,school_closing_flag,workplace_closing,workplace_closing_flag,cancel_public_events,cancel_public_events_flag,restrictions_on_gatherings,restrictions_on_gatherings_flag,close_public_transit,close_public_transit_flag,stay_at_home_requirements,stay_at_home_requirements_flag,restrictions_on_internal_movement,restrictions_on_internal_movement_flag,international_travel_controls,income_support,income_support_flag,debt_contract_relief,fiscal_measures,international_support,public_information_campaigns,public_information_campaigns_flag,testing_policy,contact_tracing,emergency_healthcare_investment,vaccine_investment,misc_wildcard,confirmed_cases,deaths,stringency_index,mobility_transit_stations_response,mobility_retail_and_recreation_response,mobility_grocery_and_pharmacy_response,mobility_parks_response,mobility_residential_response,mobility_workplaces_response
2020-04-23,United Kingdom,1,523.0,76.0,25356.0,5041.0,-77.0,-78.0,-30.0,8.0,33.0,-74.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,9219.0,641.0,79.63,-75.0,-79.0,-30.0,-5.0,34.0,-73.0
2020-04-24,United Kingdom,1,379.0,73.0,25735.0,5114.0,-75.0,-79.0,-30.0,-5.0,34.0,-73.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,10795.0,1184.0,79.63,-74.0,-82.0,-35.0,-25.0,21.0,-57.0
2020-04-25,United Kingdom,1,333.0,60.0,26068.0,5174.0,-74.0,-82.0,-35.0,-25.0,21.0,-57.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,130470.0,21328.0,79.63,-72.0,-81.0,-38.0,5.0,16.0,-54.0
2020-04-26,United Kingdom,1,310.0,63.0,26378.0,5237.0,-72.0,-81.0,-38.0,5.0,16.0,-54.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,,3264.0,299.0,79.63,-76.0,-76.0,-32.0,-2.0,31.0,-73.0
2020-04-27,United Kingdom,1,417.0,53.0,26795.0,5290.0,-76.0,-76.0,-32.0,-2.0,31.0,-73.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,,154242.0,23991.0,79.63,-80.0,-82.0,-42.0,-62.0,32.0,-75.0
2020-04-28,United Kingdom,1,311.0,58.0,27106.0,5348.0,-80.0,-82.0,-42.0,-62.0,32.0,-75.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,,157715.0,24311.0,79.63,-77.0,-79.0,-33.0,-35.0,33.0,-73.0
2020-04-29,United Kingdom,1,431.0,52.0,27537.0,5400.0,-77.0,-79.0,-33.0,-35.0,33.0,-73.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,,12391.0,1415.0,79.63,-78.0,-81.0,-35.0,-43.0,34.0,-74.0
2020-04-30,United Kingdom,1,425.0,44.0,27962.0,5444.0,-78.0,-81.0,-35.0,-43.0,34.0,-74.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,,167150.0,26049.0,79.63,-75.0,-80.0,-30.0,-32.0,34.0,-72.0
2020-05-01,United Kingdom,1,356.0,42.0,28318.0,5486.0,-75.0,-80.0,-30.0,-32.0,34.0,-72.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,,3719.0,365.0,79.63,-71.0,-81.0,-31.0,-17.0,20.0,-54.0
2020-05-02,United Kingdom,1,249.0,53.0,28567.0,5539.0,-71.0,-81.0,-31.0,-17.0,20.0,-54.0,51.5,-0.083333,POINT(-0.083333 51.5),,,,,,3.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,,177558.0,27381.0,79.63,-74.0,-82.0,-40.0,-23.0,17.0,-53.0
